Справочник БИК;;;;;;;;;;
Актуально на 28.05.2023. Всего записей — 1397.;;;;;;;;;;
Подготовлено сайтом bik10.ru;;;;;;;;;;
Справочник БИК онлайн;;;;;;;;;;
БИК;Регион;Почтовый индекс;Город;Адрес;Наименование;Телефон;Корреспондентский счет;Регистрационный номер;Тип организации;Дата внесения
044525880;45;129594;Москва;Сущевский вал, д.65, корп. 1;"Банк ""ВБРР"" (АО)";(495)9330343;30101810900000000880;3287;Банк;1996-06-10
044525717;45;119048;Москва;ул. Усачева, дом 33, строение 1;"ООО ""Америкэн Экспресс Банк""";(495)9338400;30101810400000000717;3460;Банк;2006-04-13
044030905;41;187015;Красный Бор;ул. Промышленная, д. 3, пом. II;"АО ""БАНК БЕРЕЙТ""";;30101810145374030905;3505;Банк;2023-05-16
041012718;10;675004;Благовещенск;переулок Св. Иннокентия, 1;"ПАО КБ ""ВОСТОЧНЫЙ""";(4162)224300,234399;30101810700000000718;1460;Банк;1994-01-20
043510607;35;295000;Симферополь;улица Набережная имени 60-летия СССР, дом 34;РНКБ БАНК (ПАО);(3652)550500;30101810335100000607;1354;Банк;2015-07-06
044525976;45;127051;Москва;Цветной бульвар, дом 18;"АКБ ""Абсолют Банк"" (ПАО)";(495)9353001,9355001;30101810500000000976;2306;Банк;1994-01-20
044525823;45;117420;Москва;ул. Наметкина, дом 16, корпус 1.;Банк ГПБ (АО);(495)9137474;30101810200000000823;354;Банк;1994-01-20
044525104;45;109456;Москва;1-й Вешняковский проезд, д. 1, стр. 8, 1 этаж, пом. 43;"ООО ""Банк Точка""";(495)7339555,3651535;30101810745374525104;3545;Банк;2023-02-21
044525068;45;123112;Москва;Пресненская набережная, дом 10, этаж 19;"ООО ""ОЗОН Банк""";;30101810645374525068;3542;Банк;2022-03-18
048209775;82;367008;Махачкала;ул. Танкаева, 60;"ООО КБ ""МВС БАНК""";(87245)25849,25847;30101810400000000775;2407;Банк;1994-01-20
044525245;45;125124;Москва;улица Правды, дом 8, корпус 1;"ООО ""ХКФ Банк""";(495)7858225;30101810845250000245;316;Банк;1994-01-20
044525767;45;129090;Москва;Олимпийский проспект, дом 14;"АО ""Кредит Европа Банк (Россия)""";(495)7254040;30101810900000000767;3311;Банк;1997-09-02
040507705;05;690990;Владивосток;ул Верхнепортовая, 27 А;"АО ""Дальневосточный банк""";(423)2516437,2516444;30101810900000000705;843;Банк;1994-01-20
046015946;60;347900;Таганрог;ул.Греческая,71 ;"АО ""Таганрогбанк""";;30101810960150000946;3136;Банк;2018-09-26
045773756;57;614015;Пермь;ул Куйбышева, 10;БАНК ПЕРМЬ (АО);(342)2351101,2351607;30101810200000000756;875;Банк;1994-01-20
044525600;45;115419;Москва;ул Орджоникидзе, 5;"АО ""МИнБанк""";(495)7400074;30101810300000000600;912;Банк;1994-01-20
042908701;29;248030;Калуга;ул Плеханова, 4;"АО ""ГАЗЭНЕРГОБАНК""";(4842)531394;30101810600000000701;3252;Банк;1995-06-08
041909707;19;160009;Вологда;ул Мальцева, 52;"""СЕВЕРСТРОЙБАНК"" АО";(8172)759360;30101810300000000707;3507;Банк;2012-06-09
047144709;71;628404;Сургут;ул Григория Кукуевицкого, 19;"АО БАНК ""СНГБ""";(3462)398600,398711;30101810600000000709;588;Банк;1994-01-20
044525062;45;107996;Москва;ул. Рождественка, дом 8, строение 1;"АО ""БМ-Банк""";(495)1058000,7458000;30101810345250000062;2748;Банк;2016-05-10
044030705;40;197101;Санкт-Петербург;ул Дивенская, 1 лит А;"ПАО ""БАЛТИНВЕСТБАНК""";(812)3261401,3261404;30101810500000000705;3176;Банк;1995-02-28
041909760;19;160000;Вологда;ул. Козленская, д. 10;"АО ""БАНК ""ВОЛОГЖАНИН""";(8172)211819,211204;30101810800000000760;1896;Банк;1994-01-20
044525054;45;125047;Москва;улица 1-я Тверская-Ямская, дом 23, строение 1, 4 этаж, помещение V, комнаты № 6, 6а, 7-9, 10а, 10б, 21, 22, 26, 27;"ООО ""НКО ""ЭЛЕКСИР""";(495)2693211;30103810445250000054;3533-К;Банк;2016-08-04
049205525;92;423800;Набережные Челны;ул. Гидростроителей, д.21;"ООО ""Камкомбанк""";;30101810522029205525;438;Банк;2019-06-28
043601842;36;443010;Самара;ул. Фрунзе/ул. Некрасовская, д.102/д.36;"АО КБ ""НИБ""";(846)3425750,3425751;30101810522023601842;2876;Банк;1994-07-29
049205878;92;423831;Набережные Челны;пр-т Хасана Туфана, д. 43;"АО ""Автоградбанк""";;30101810622029205878;1455;Банк;2019-07-15
044525710;45;119121;Москва;улица Бурденко, дом 22;"АО КБ ""АГРОПРОМКРЕДИТ""";(495)7392005;30101810545250000710;2880;Банк;1995-04-10
044525349;45;107031;Москва;Дмитровский переулок, дом 7;"АО КБ ""ИС Банк""";(495)6414070;30101810945250000349;3175;Банк;1996-09-10
040349722;03;350000;Краснодар;ул. им. Орджоникидзе, 46/ ул. Красноармейская, 32;"КБ ""КУБАНЬ КРЕДИТ"" ООО";(861)2748874,2748880;30101810200000000722;2518;Банк;1994-01-20
044525545;45;119034;Москва;Пречистенская набережная, 9;АО ЮниКредит Банк;(495)2587258;30101810300000000545;1;Банк;1994-01-20
044525551;45;109028;Москва;Серебряническая набережная, дом 29;АйСиБиСи Банк (АО);(495)2873099;30101810200000000551;3475;Банк;2007-11-22
044525285;45;109004;Москва;ул. Станиславского, дом 4, строение 1;"АО ""РЕАЛИСТ БАНК""";;30101810245250000285;1067;Банк;2019-06-24
044525341;45;119021;Москва;Зубовский бульвар, дом 25;"АКБ ""ФОРА-БАНК"" (АО)";(495)7756555,2456249;30101810300000000341;1885;Банк;1994-01-20
044525346;45;107045;Москва;Последний переулок, дом 11, строение 1;"ООО КБ ""СИНКО-БАНК""";(495)7374140;30101810045250000346;2838;Банк;1995-07-27
044525348;45;115184;Москва;улица Новокузнецкая, дом 9, строение 2;"АКБ ""Ланта-Банк"" (АО)";(495)9570000,9592959;30101810400000000348;1920;Банк;1994-01-20
040507795;05;690091;Владивосток;ул Светланская, 47;"ПАО АКБ ""Приморье""";(423)2221255,2225587;30101810800000000795;3001;Банк;1994-08-12
040349789;03;350015;Краснодар;ул Северная, 321;"ООО КБ ""ГТ БАНК""";(861)2790305,2791744;30101810303490000789;665;Банк;2017-10-23
044525604;45;127006;Москва;Настасьинский переулок, дом 7, строение 2;"АО ""Банк ФИНАМ""";(495)3800040;30101810745250000604;2799;Банк;1994-05-10
044525632;45;123112;Москва;Пресненская наб., д. 10;"АО АКБ ""МЕЖДУНАРОДНЫЙ ФИНАНСОВЫЙ КЛУБ""";(495)2870260;30101810445250000632;2618;Банк;1994-03-01
044525593;45;107078;Москва;ул. Каланчевская, д. 27;"АО ""АЛЬФА-БАНК""";(495)9742515,7555830;30101810200000000593;1326;Банк;1994-01-20
044525555;45;109052;Москва;улица Смирновская, дом 10, строение 22;"ПАО ""Промсвязьбанк""";(495)7271020,7771020;30101810400000000555;3251;Банк;1995-06-08
044525635;45;121151;Москва;ул. Можайский Вал, д. 8;"Банк ""ТРАСТ"" (ПАО)";(495)6479021,(495)6472805;30101810345250000635;3279;Банк;1996-01-25
046577795;65;620014;Екатеринбург;ул Сакко и Ванцетти, 67;"ПАО КБ ""УБРИР""";(343)2645560;30101810900000000795;429;Банк;1994-01-20
044525685;45;125424;Москва;Волоколамское шоссе, дом 73;"""СДМ-Банк"" (ПАО)";(495)7059090;30101810845250000685;1637;Банк;1994-01-20
044525151;45;105187;Москва;ул. Ткацкая, д. 36;"АО ""Банк Русский Стандарт""";(495)7978402,7978440;30101810845250000151;2289;Банк;2016-06-22
044525123;45;107996;Москва;ул. Маши Порываевой, д. 11;МБЭС;(495)9753861,6047220;30101810145250000123;7388;Банк;2016-05-26
044525131;45;125047;Москва;ул. Гашека, д. 2, стр. 1;"АКБ ""ТЕНДЕР-БАНК"" (АО)";(499)9470077;30101810645250000131;2252;Банк;2016-06-01
044525116;45;109147;Москва;ул. Марксистская, д.16;"""ЗИРААТ БАНК (МОСКВА)"" (АО)";(495)2326737,2326736;30101810700000000116;2559;Банк;1994-09-20
044525158;45;109004;Москва;Добровольческая улица, дом 20, строение 2;"АО ""НС Банк""";(495)2761101;30101810945250000158;3124;Банк;1994-12-09
044525178;45;101000;Москва;улица Садовая-Черногрязская, дом 22, строение 3;"Банк ""СЕРВИС РЕЗЕРВ"" (АО)";(495)6493434,6493433;30101810145250000178;2034;Банк;1995-09-27
046401772;64;693000;Южно-Сахалинск;Коммунистический пр-т, 32;"Банк ""ИТУРУП"" (ООО)";(4242)727520,727311;30101810300000000772;2390;Банк;1994-01-20
044525675;45;119435;Москва;Большой Саввинский переулок, дом 2, строение 9;"АКБ ""Держава"" ПАО";(495)3800480;30101810745250000675;2738;Банк;2014-04-18
044525659;45;107045;Москва;Луков переулок, д. 2, стр. 1;"ПАО ""МОСКОВСКИЙ КРЕДИТНЫЙ БАНК""";(495)7774888,7974244;30101810745250000659;1978;Банк;1994-01-20
044525666;45;115093;Москва;ул. Дубининская, д. 86;"ПАО ""РосДорБанк""";(495)9596000,9596001;30101810945250000666;1573;Банк;1994-01-20
044525256;45;107078;Москва;ул. Маши Порываевой, д. 34;ПАО РОСБАНК;(495)7250595;30101810000000000256;2272;Банк;1994-01-20
047501779;75;454113;Челябинск;пл Революции, 8;"ПАО ""ЧЕЛЯБИНВЕСТБАНК""";(351)2638444,2636704;30101810400000000779;493;Банк;1994-01-20
049205131;92;420012;Казань;ул. Некрасова, д.38;"ООО ""Банк 131""";;30101810822029205131;3538;Банк;2019-04-01
044525388;45;109147;Москва;ул. Воронцовская, д. 27/35;ТКБ БАНК ПАО;(495)7373313;30101810800000000388;2210;Банк;1994-01-20
044525453;45;121059;Москва;Бережковская наб., дом 20Г;"""Вэйбанк"" АО";(499)2405643;30101810145250000453;3095;Банк;1994-11-25
044525473;45;115184;Москва;ул. Бахрушина, д. 10, стр. 1;Банк Глобус (АО);(495)6440011;30101810345250000473;2438;Банк;1994-01-20
044525055;45;107045;Москва;ул. Сретенка, д. 24/2, стр. 1;РНКО АЗИЯПЭЙ ООО;;30103810245374525055;3544-К;Банк;2022-12-13
044959746;49;173003;Великий Новгород;наб р.Гзень, 11;"ПАО УКБ ""НОВОБАНК""";(8162)501100;30101810900000000746;1352;Банк;1994-01-20
044525077;45;119002;Москва;ул. Арбат, д. 10;"ООО НКО ""Твои платежи""";(495)7213262,9263763;30103810545250000077;3518-К;Банк;2013-05-31
044525133;45;119530;Москва;Очаковское шоссе, дом 10, корпус 2, строение 1, помещение VI, этаж 3, комната №11;"АО НКО ""ЭЛЕКСНЕТ""";(495)6621500,2872959;30103810845250000133;3314-К;Банк;2016-05-30
040708744;07;357433;Иноземцево;ул Гагарина, 209;"КБ ""КОНТИНЕНТАЛЬ""ООО";(87932)53991;30101810900000000744;3184;Банк;1995-05-15
044525265;45;125315;Москва;Ленинградский проспект, дом 72, корпус 3;Эс-Би-Ай Банк ООО;(495)6516512;30101810045250000265;3185;Банк;1995-02-28
042809992;28;171506;Кимры;ул Урицкого, 19;"ООО КБ ""ГЕФЕСТ""";(48236)31080,31084;30101810028090000992;1046;Банк;2015-09-28
044525060;45;125009;Москва;вн. тер. г. муниципальный округ Арбат, ул. Воздвиженка, д. 10;ВЭБ.РФ;(495)7211863;30101810500000000060;964;Банк;1994-03-29
040507595;05;690091;Владивосток;ул. Алеутская, д. 33;"АО ""Солид Банк""";(423)2265722,(423)2469293;30101810205070000595;1329;Банк;2017-07-03
044525222;45;127473;Москва;улица Краснопролетарская, дом 36;ИНГ БАНК (ЕВРАЗИЯ) АО;(495)7555400;30101810500000000222;2495;Банк;1994-06-15
044525229;45;123112;Москва;улица Тестовская, дом 10;"ООО КБ ""АРЕСБАНК""";(495)7953288;30101810845250000229;2914;Банк;1994-09-20
044525236;45;125047;Москва;ул. 1-я Тверская-Ямская, д. 21;"АО ""Банк Кредит Свисс (Москва)""";(495)9678200;30101810800000000236;2494;Банк;1994-10-25
044525232;45;115432;Москва;просп. Андропова, д.18, корп.1;"ПАО ""МТС-Банк""";(495)9212800,2322754;30101810600000000232;2268;Банк;1994-01-20
043207777;32;650070;Кемерово;Молодежный пр-т, 5;"ООО НКО ""Тайдон""";;30124810445373207777;2085-Д;Банк;2022-11-22
044525186;45;127006;Москва;улица Долгоруковская, дом 38, строение 1;"ПАО ""СПБ Банк""";(495)8990170;30101810400000000186;435;Банк;1994-01-20
044525247;45;121069;Москва;ул. Поварская, дом 23, строение 4;МП Банк (ООО);(495)2586100;30101810200000000247;3224;Банк;1995-04-25
044525922;45;101000;Москва;Петроверигский пер., д.2;"АО ""Банк Интеза""";(495)4118070;30101810800000000922;2216;Банк;1994-01-20
040507803;05;690106;Владивосток;Партизанский пр-т, 44;"ПАО СКБ Приморья ""Примсоцбанк""";(423)2424242,2422076;30101810200000000803;2733;Банк;1994-05-01
044525811;45;125124;Москва;ул. Правды, д. 26;"ООО ""Драйв Клик Банк""";(495)4116241,7295200;30101810500000000811;2168;Банк;1994-01-20
044525059;45;127055;Москва;ул. Палиха, д. 10, стр. 7;ЦМРБанк (ООО);(495)9808044;30101810345250000059;3531;Банк;2016-06-14
042406701;24;153000;Иваново;улица Станко, дом 13;"АО КИБ ""ЕВРОАЛЬЯНС""";(0932)471530,413099;30101810800000000701;1781;Банк;1994-01-20
044525079;45;121151;Москва;Набережная Тараса Шевченко, дом 23А, 2 этаж, пом. 1, ком № 1;"АО ""Банк Финсервис""";(495)7777787;30101810545250000079;3388;Банк;2002-03-11
044525911;45;107078;Москва;Орликов пер., д.5, стр.3;"АО ""ГУТА-БАНК""";(495)7717444;30101810645250000911;256;Банк;1994-01-20
044525267;45;115054;Москва;ул. Дубининская, д. 45;ИНВЕСТТОРГБАНК АО;(495)2340120,2342964;30101810645250000267;2763;Банк;1995-07-10
049205933;92;423818;Набережные Челны;проспект Мира, д. 88а;"ПАО ""АКИБАНК""";;30101810622029205933;2587;Банк;2019-07-29
044525102;45;123022;Москва;ул.2-ая Звенигородская, д.13, стр.42;"АО ""Денизбанк Москва""";(495)7251020;30101810400000000102;3330;Банк;1998-08-21
044525134;45;115280;Москва;улица Ленинская Слобода, дом 19, строение 1;"ООО ""Первый Клиентский Банк""";(495)7391055;30101810545250000134;3436;Банк;2003-09-15
044525108;45;115035;Москва;улица Садовническая, дом 79;"АО ""МСП Банк""";(495)7837966;30101810200000000108;3340;Банк;2000-04-28
044525107;45;115035;Москва;Овчинниковская набережная, дом 20, строение 1, 5 этаж;"АО ""Мидзухо Банк (Москва)""";(495)2120333,(495)7414573;30101810900000000107;3337;Банк;1999-05-21
044525111;45;119034;Москва;Гагаринский переулок, дом 3;"АО ""Россельхозбанк""";(495)7877787,7771100;30101810200000000111;3349;Банк;2000-06-30
044525135;45;115114;Москва;улица Кожевническая, дом 14;"КБ ""Ренессанс Кредит"" (ООО)";(495)7834600;30101810845250000135;3354;Банк;2016-06-14
044525881;46;143401;Красногорск;улица Международная, дом 18;"КБ ""Крокус-Банк"" (ООО)";(495)2281244;30101810445250000881;2682;Банк;1994-05-30
044525503;45;115035;Москва;ул. Садовническая, дом 71, строение 11;"АО ""СМП Банк""";(495)9818181;30101810545250000503;3368;Банк;2016-06-14
044525502;45;123022;Москва;улица Рочдельская, дом 14 строение 1;"""Банк ""МБА-МОСКВА"" ООО";(495)9377727,9377719;30101810000000000502;3395;Банк;2002-03-01
044525488;45;127473;Москва;1-й Волконский переулок, д. 13;"ООО ""Унифондбанк""";(495)2294314,2323517;30101810945250000488;3416;Банк;2002-12-15
044525412;45;108814;Москва;поселение Сосенское, Калужское шоссе, 24-й км, домовл. 1, стр. 1, 9 этаж;"ПАО КБ ""РусьРегионБанк""";(499)2303300,2303969;30101810445250000412;685;Банк;1994-01-20
046311902;45;121096;Москва;ул. Василисы Кожиной, д.1., оф.804.8;"АО ""Свой Банк""";(8452)306973,306993;30101810622026311902;3223;Банк;2017-03-10
044525514;45;119017;Москва;ул. Пятницкая, д. 31/2, стр. 1;"АО АКБ ""ЦентроКредит""";(495)9531827,9568626;30101810700000000514;121;Банк;1994-01-20
044525070;45;119285;Москва;муниципальный округ Раменки вн.тер.г., МЖД Киевское 5-й км, д.1, стр.1, этаж 4, пом.23/4;"ООО НКО ""Расчетные Решения""";(495)7833622;30103810445250000070;3524-К;Банк;2014-04-23
044525362;45;115162;Москва;ул. Шухова, д. 15;Межгосударственный банк;(495)2283100;30101810800000000362;2639-МГ;Банк;1996-10-22
044525505;45;105066;Москва;улица Спартаковская, дом 12;НКО АО НРД;(495)2344827;30105810345250000505;3294;Банк;1996-12-10
044525162;45;119180;Москва;ул. Полянка Большая, д. 50/1, стр. 1;"АО АКБ ""НОВИКОМБАНК""";(495)9747187;30101810245250000162;2546;Банк;1994-07-29
044525900;45;127006;Москва;улица Каретный ряд, дом 5/10, строение 2;"ООО ""ФФИН Банк""";(495)2491162;30101810245250000900;1143;Банк;2015-11-27
049205703;92;420111;Казань;ул Чернышевского, 18/23;"АО ""ТАТСОЦБАНК""";(843)2991111,2922280;30101810500000000703;480;Банк;1994-01-20
044525845;45;115054;Москва;ул. Зацепский Вал, д. 5;"ПАО ""Норвик Банк""";;30101810745374525845;902;Банк;2022-12-22
044525709;45;129090;Москва;переулок 2-й Троицкий, дом 3;"БАНК ""АГОРА"" ООО";(495)7887248;30101810145250000709;3231;Банк;1995-08-25
046577906;65;620075;Екатеринбург;ул Красноармейская, 10;"УРАЛЬСКИЙ ФИЛИАЛ АО ""РАЙФФАЙЗЕНБАНК""";(343)3792901,3792909;30101810100000000906;3292/2;Филиал банка;2005-03-03
045402704;54;302020;Орёл;Наугорское ш, 8А лит А;"ФИЛИАЛ ""БАНКА ЗАРЕЧЬЕ"" (АО) В Г. ОРЛЕ";(4862)442975,442976;30101810100000000704;817/13;Филиал банка;2012-04-19
040037471;00;468320;Байконур;ул Советской Армии, 11;"БАЙКОНУРСКИЙ ФИЛИАЛ АБ ""РОССИЯ""";(33622)42772,42766;30101810000370000471;328/22;Филиал банка;2015-02-24
043207707;32;650991;Кемерово;ул Красноармейская, 136;"КУЗБАССКИЙ ФИЛИАЛ АО ""УГЛЕМЕТБАНК""";(3842)362627,777400;30101810500000000707;2997/6;Филиал банка;2005-09-22
046014336;60;346918;Новошахтинск;ул Садовая, 30;"ФМКБ ""ДОН-ТЕКСБАНК"" ООО В Г.НОВОШАХТИНСКЕ";(86369)20632;30101810460140000336;1818/2;Филиал банка;2015-03-02
047888710;78;150014;Ярославль;Которосльная наб, 55;"ФИЛИАЛ АКБ ""ФОРА-БАНК"" (АО) В Г.ЯРОСЛАВЛЬ";(4852)206050;30101810800000000710;1885/2;Филиал банка;2006-06-08
046577507;65;620075;Екатеринбург;ул Мамина-Сибиряка, 145;"ЕКАТЕРИНБУРГСКИЙ ФИЛИАЛ АБ ""РОССИЯ""";(343)2863760;30101810965770000507;328/23;Филиал банка;2017-05-16
045004701;50;630099;Новосибирск;ул Семьи Шамшиных, 26, 26/1;"НОВОСИБИРСКИЙ ФИЛИАЛ АБ ""РОССИЯ""";(383)3670691,3670692;30101810950040000701;328/24;Филиал банка;2018-02-14
043510107;35;295000;Симферополь;пр-т Кирова, 36;"СИМФЕРОПОЛЬСКИЙ ФИЛИАЛ АБ ""РОССИЯ""";(3652)548866;30101810835100000107;328/21;Филиал банка;2014-06-16
042202876;22;603005;Нижний Новгород;ул Ульянова, 26/11;"НИЖЕГОРОДСКИЙ ФИЛИАЛ АБ ""РОССИЯ""";(831)4193500,4197660;30101810300000000876;328/18;Филиал банка;2012-01-30
042007677;20;394006;Воронеж;Красноармейский пер, 12 А;"ВОРОНЕЖСКИЙ ФИЛИАЛ АБ ""РОССИЯ""";(473)2619882;30101810300000000677;328/5;Филиал банка;2010-08-23
046577409;65;620014;Екатеринбург;Банковский пер, 9 А;"ЕКАТЕРИНБУРГСКИЙ ФИЛИАЛ БАНКА ""ВЯТИЧ"" (ПАО)";(343)3711589;30101810665770000409;2796/1;Филиал банка;1997-03-25
042520728;25;664007;Иркутск;ул. Карла Либкнехта, 99А;ИРКУТСКИЙ ФИЛИАЛ БАНКА СОЮЗ (АО);(3952)640044;30101810300000000728;2307/4;Филиал банка;2003-10-13
044030858;40;191025;Санкт-Петербург;наб р.Фонтанки, 48/2;ПЕТЕРБУРГСКИЙ ФИЛИАЛ АО ЮНИКРЕДИТ БАНКА;(812)3468437,3468420;30101810800000000858;1/1;Филиал банка;1994-01-20
042202886;22;603005;Нижний Новгород;ул Минина, 16 А;"НИЖЕГОРОДСКИЙ Ф-Л ПАО АКБ ""МЕТАЛЛИНВЕСТБАНК""";()88002509797;30101810400000000886;2440/5;Филиал банка;2009-04-09
046577422;65;620075;Екатеринбург;ул Розы Люксембург, 37;ЕКАТЕРИНБУРГСКИЙ ФИЛИАЛ БАНКА СОЮЗ (АО);(343)2381221,2381222;30101810765770000422;2307/9;Филиал банка;2008-07-03
042748801;27;236022;Калининград;Ул. Кирова, 1;"ФКБ ""МОСКОММЕРЦБАНК"" (АО) Г.КАЛИНИНГРАД";(0112)370000;30101810700000000801;3365/3;Филиал банка;2007-04-19
040349550;03;350000;Краснодар;ул. Октябрьская, 183/ ул. Северная, 326;"ФИЛИАЛ N8 ПАО КБ ""ЦЕНТР-ИНВЕСТ""";(861)2740006,2740070;30101810100000000550;2225/8;Филиал банка;2003-08-14
041203712;12;414000;Астрахань;пл Ленина, 6 А, стр лит А;"ФИЛИАЛ В Г.АСТРАХАНИ АО ""МБ БАНК""";(8512)484975;30101810500000000712;3396/1;Филиал банка;2011-06-02
044030902;40;190000;Санкт-Петербург;Конногвардейский б-р, 3 лит А;"ФИЛИАЛ АО АКБ ""НОВИКОМБАНК"" В Г.С-ПЕТЕРБУРГЕ";(812)3138848;30101810400000000902;2546/5;Филиал банка;2011-05-06
040349542;03;350000;Краснодар;ул Рашпилевская, 89;КРАСНОДАРСКИЙ ФИЛИАЛ БАНКА СОЮЗ (АО);(861)2930120,2930122;30101810600000000542;2307/6;Филиал банка;2004-09-30
041806745;18;403112;Урюпинск;ул. Штеменко, 47/3;"Урюпинский филиал ПАО КБ ""Сельмашбанк""";;30101810518060000745;106/8;Филиал банка;2018-09-26
043735853;37;640028;Курган;ул Химмашевская, 16;"ФИЛИАЛ ""КУРГАНСКИЙ"" АО АКБ ""АЛЕФ-БАНК""";(3522)255788,477817;30101810800000000853;2119/1;Филиал банка;2002-11-21
041403838;14;308000;Белгород;Народный б-р, 79;"БЕЛГОРОДСКИЙ Ф-Л ПАО АКБ ""МЕТАЛЛИНВЕСТБАНК""";(4722)307000;30101810014030000838;2440/8;Филиал банка;2013-07-15
046015075;60;344082;Ростов-на-Дону;ул. Согласия, д. 11/45;РОСТОВСКИЙ ФИЛИАЛ ЦМРБАНК (ООО);(863)2695710;30101810860150000075;3531/1;Филиал банка;2016-06-14
042202873;22;603005;Нижний Новгород;ул Б. Покровская, 16;"ПРИВОЛЖСКИЙ ФИЛИАЛ АО КБ ""СИТИБАНК""";(831)2780115,2201810;30101810400000000873;2557/5;Филиал банка;2007-03-29
048073949;80;450077;Уфа;ул Ленина, 31/33;"ФИЛИАЛ ""БАШКОРТОСТАН"" АО КБ ""СИТИБАНК""";(347)2936380,2936570;30101810280730000949;2557/7;Филиал банка;2013-08-23
046015068;60;344006;Ростов-на-Дону;ул. Большая Садовая,д.124а;"ДОНСКОЙ ФИЛИАЛ АО КБ ""СИТИБАНК""";(863)2040043,2040002;30101810660150000068;2557/3;Филиал банка;2007-01-22
040702763;07;355017;Ставрополь;ул Ленина, 235 А;"ФИЛИАЛ ПАО ""БАНК УРАЛСИБ"" В Г. СТАВРОПОЛЬ";(8652)238640;30101810400000000763;2275/49;Филиал банка;2005-10-03
043601889;36;443100;Самара;ул Самарская, 270;"СРЕДНЕВОЛЖСКИЙ ФИЛИАЛ АО КБ ""СИТИБАНК""";(846)2762136,3780256;30101810400000000889;2557/2;Филиал банка;2006-12-28
040507900;05;690003;Владивосток;ул Верхнепортовая, 44 А;"ПРИМОРСКИЙ ФИЛИАЛ АКБ ""БЭНК ОФ ЧАЙНА"" (АО)";(423)2022531,2022533;30101810405070000900;2309/2;Филиал банка;2013-01-15
044030866;40;197101;Санкт-Петербург;ул Кронверкская, 13 лит А;САНКТ-ПЕТЕРБУРГСКИЙ ФИЛИАЛ БАНКА СОЮЗ (АО);(812)4413500,4413202;30101810300000000866;2307/1;Филиал банка;2000-03-17
042748877;27;236010;Калининград;ул Кутузова, 39;"Ф-Л ""ЕВРОПЕЙСКИЙ"" ПАО ""БАНК ""САНКТ-ПЕТЕРБУРГ""";(4012)997000;30101810927480000877;436/28;Филиал банка;2014-12-30
041012731;10;675000;Благовещенск;ул Ленина, 142;"АМУРСКИЙ РФ АО ""РОССЕЛЬХОЗБАНК""";(4162)221800,221805;30101810800000000731;3349/23;Филиал банка;2001-02-09
042406780;24;153002;Иваново;пр-т Ленина, 21, стр 1;"ИВАНОВСКИЙ РФ АО ""РОССЕЛЬХОЗБАНК""";(4932)414142,249800;30101810300000000780;3349/38;Филиал банка;2001-07-13
042618783;26;386102;Назрань;ул Московская, 13 А;"ИНГУШСКИЙ РФ АО ""РОССЕЛЬХОЗБАНК""";(8732)220801;30101810300000000783;3349/42;Филиал банка;2001-07-13
042520700;25;664025;Иркутск;ул Сурикова, 21;"ИРКУТСКИЙ РФ АО ""РОССЕЛЬХОЗБАНК""";(3952)503323,505904;30101810700000000700;3349/66;Филиал банка;2005-11-24
048702739;87;167000;Сыктывкар;ул Первомайская, 112/1;"КОМИ РФ АО ""РОССЕЛЬХОЗБАНК""";(8212)448379,448019;30101810900000000739;3349/74;Филиал банка;2007-08-16
045805772;58;180000;Псков;ул Некрасова, 44 А;"ПСКОВСКИЙ РФ АО ""РОССЕЛЬХОЗБАНК""";(8112)687222,687218;30101810900000000772;3349/68;Филиал банка;2006-10-16
046015913;60;344006;Ростов-на-Дону;ул Суворова, 40;"ФМКБ ""ДОН-ТЕКСБАНК""ООО В Г.РОСТОВЕ-НА-ДОНУ";(863)2640229,2640858;30101810700000000913;1818/1;Филиал банка;1994-05-30
046311887;63;410002;Саратов;ул им. Мичурина И.В., 150/154;"САРАТОВСКИЙ ФИЛИАЛ ПАО ""МЕТКОМБАНК""";(8452)231412,653536;30101810663110000887;2443/6;Филиал банка;2015-01-30
042908770;29;248000;Калуга;ул Воронина, 4;"ФИЛИАЛ АКБ ""ФОРА-БАНК"" (АО) В Г.КАЛУГА";(4842)762555,762556;30101810000000000770;1885/1;Филиал банка;2002-02-08
048142727;81;670000;Улан-Удэ;ул Смолина, 57 Д;"БУРЯТСКИЙ РФ АО ""РОССЕЛЬХОЗБАНК""";(3012)287100,287110;30101810400000000727;3349/59;Филиал банка;2002-09-20
045354816;53;460000;Оренбург;ул Ленинская, 59 Б;"ОРЕНБУРГСКИЙ РФ АО ""РОССЕЛЬХОЗБАНК""";(3532)770295;30101810000000000816;3349/5;Филиал банка;2000-10-27
046401747;64;693020;Южно-Сахалинск;пр-т Мира, 107;"САХАЛИНСКИЙ РФ АО ""РОССЕЛЬХОЗБАНК""";(4242)312101;30101810500000000747;3349/72;Филиал банка;2007-06-18
047102622;71;625000;Тюмень;ул Первомайская, 21;"ТЮМЕНСКИЙ РФ АО ""РОССЕЛЬХОЗБАНК""";(3452)456445;30101810800000000622;3349/71;Филиал банка;2007-02-05
047501821;75;454091;Челябинск;пр-т Ленина, 26 А;"ЧЕЛЯБИНСКИЙ РФ АО ""РОССЕЛЬХОЗБАНК""";(351)7490800,7490802;30101810400000000821;3349/78;Филиал банка;2008-10-09
